ProductId,Style,Dept
71400248,['0248'],['014']
20900EAG,['3045'],['009']
20900CTS,['2904'],['009']
12950475,['0360'],['029']
23150321,['2554'],['031']
23150304,['2539'],['031']
23150138,['2142'],['031']
21003107,"['0845', '0846', '0757']",['010']
13302459,['1843'],['033']
13302442,['1729'],['033']
13302437,"['1744', '1727']",['033']
13302436,"['1743', '1726']",['033']
13302434,"['1741', '1724']",['033']
13302433,"['1740', '1723']",['033']
13302430,"['1737', '1720']",['033']
13302389,"['1589', '1557']",['033']
13302378,['1507'],['033']
13302189,"['1553', '1210']",['033']
059B4065,['2123'],['059']
029B5025,['1084'],['029']
066B5065,['2520'],['066']
066B5064,['2521'],['066']
029B5075,['1083'],['029']
029B5076,['2146'],['029']
009B4059,['3515'],['009']
O59B4064,['2122'],['059']
U13ST310,['0461'],['013']
U13ST306,['0459'],['013']
U13ST301,['0458'],['013']
813ST312,['0445'],['013']
813ST302,['0443'],['013']
D6666057,['2525'],['066']
82200755,['0755'],['022']
23150528,"['4039', '4040', '4041', '4020']",['031']
82200753,['0753'],['022']
82200746,['0746'],['022']
12950568,['0848'],['029']
38989561,"['0717', '0718', '0719']",['089']
23150809,['3651'],['031']
D5959687,['1505'],['059']
D5959397,['2028'],['059']
D5959393,['2024'],['059']
D5959392,['2023'],['059']
D5959380,['2011'],['059']
D5959376,['2007'],['059']
D5959378,['2009'],['059']
21107110,['2114'],['011']
21107106,"['2126', '2118', '2127', '2100']",['011']
H2171090,"['1152', '1151', '1153']",['021']
513OW820,['0411'],['013']
813HD941,['0383'],['013']
913LK026,['0366'],['013']
813HD947,['0387'],['013']
913OW817,['0408'],['013']
913OW822,['0412'],['013']
U13OW823,['0414'],['013']
413OW845,['0432'],['013']
813LK945,['0385'],['013']
U13OW842,['0429'],['013']
813OW838,['0425'],['013']
813OW835,['0370'],['013']
U13OW841,['0428'],['013']
82200346,['0346'],['022']
38832290,['3738'],['088']
23190079,['1100'],['031']
D6666207,"['2139', '2133']",['066']
R0353021,['0660'],['003']
21117281,['0813'],['011']
21117089,['2017'],['011']
13302024,"['0510', '0739']",['033']
38925440,"['0745', '0740', '0741', '0504']",['089']
13302616,"['1957', '2094']",['033']
13302023,"['0738', '0509']",['033']
D5959514,['1478'],['059']
13302019,"['0740', '0511']",['033']
913ST354,['0111'],['013']
82305036,['5036'],['023']
23151014,"['2039', '1605']",['031']
a0313303,"['3774', '3303', '3775']",['031']
71600082,['0082'],['016']
115EM39S,['1503'],['015']
71600089,['0089'],['016']
D5959868,['0688'],['059']
20801115,['1015'],['008']
20612305,"['0178', '0611', '0610', '0609']",['006']
a0331769,"['1769', '1823']",['033']
71605914,['5914'],['016']
H2170809,"['0838', '0837', '0836']",['021']
21003083,"['0858', '0857', '0686']",['010']
209K8695,['2394'],['009']
38925324,"['0499', '0498', '0230']",['089']
38888643,['0637'],['088']
13401825,"['0550', '0539']",['034']
D5656724,['0301'],['056']
82305019,['5019'],['023']
20990395,['2085'],['009']
20612263,"['4023', '4026', '4024', '4025']",['006']
20801562,"['2220', '2221', '2222']",['008']
71404006,['4006'],['014']
71404008,['4008'],['014']
20950106,['2603'],['009']
23190313,"['2013', '2012', '2014', '1487']",['031']
20801586,['0354'],['008']
38888580,"['3708', '0017']",['088']
H2171091,"['1141', '1140', '1142']",['021']
23150318,"['2700', '2699', '2572']",['031']
38925262,"['0274', '0273', '5831']",['089']
R3467366,"['0554', '0668']",['034']
71400154,['0154'],['014']
813KB240,['0297'],['013']
82300349,"['0398', '0349']",['023']
24503053,"['0137', '0138', '0073']",['045']
U13ST381,['0118'],['013']
13302451,"['1809', '1798']",['033']
23838401,['0220'],['038']
23150322,['2555'],['031']
